ParentWaRecId	ChildWaRecId	IsMitigationFlag
2032296	4247910	
2032296	4330835	
2032296	4503266	
2032296	6800541	False
2032317	4227130	
2032318	4546265	
2032320	4759207	False
2032355	2087365	
2032355	4237819	
2032355	4237841	
2032355	4237857	
2032355	4237872	
2032355	4237888	
2032355	4663897	
2032356	6801488	False
2032386	6626043	
2032389	6625945
2032415	4162310	
2032416	4683759	
2032417	4660723	
2032419	6802798	False
2032423	4677084	
2032434	4758670	False
2032464	4496441	
2032464	4496497	
2032465	4709485	
2032465	5078431	
2032465	5644013	
2032465	6167567	
2032465	6799505	False
2032466	4285614	
2032466	4285637	
2032466	4285655	
2032466	4285673	
2032466	4285691	
2032466	4289217	
2032490	4746052	False
2032557	4262220	
2032564	4709470	
2032564	5078419	
2032564	5643975
2086749 2086749
4180386 4180386	
2032564	6167558	
2032564	6799504	False
2032571	2032409	
2032584	2086847	
2032584	4638924	
2032584	5356080	
2032584	5356090	
2032586	6802561	False
2032586	6802562	False
2032592	4169323	
2032599	5645382
2086753 2086753
4520862	4520862
4520900 4520900
2032599	5645392	
2032600	4746990	False
2032601	4744503	False
2032733	2032327	
2032733	4303401	
4180345 4180345
2032765	6802725	False
2032806	6802796	False
2032808	6802794	False
2032809	6802790	False
2032815	6799847	
2032816	6799846
2087731 2087731	
2032821	5119349	
2032830	4594676	
2032831	6802870	False
2032841	6802797	False
2032842	4688900	
2032874	6800770	False
2032972	6802789	False
2032974	4667511	
2033001	4663961	
2033018	6802874	False
2033020	6802801	False
2033026	6802915	False
2033176	5645789	
2033176	6009544	
2034347	2283067	
2034347	2283068	
2038439	5039072	True
2038639	2086994	
2038671	2087656	False
2038672	2085281	
2038673	2085029	
2038675	2032604	
2038675	2032609	
2038675	2087175	
2038676	2085030	
2038693	6324020	
2038705	2087712	
2038705	4635716	
2038705	6565652	
2038972	4196651	
2039000	4157541	
2039003	5320009	
2039500	2086981	
2039622	2086975	
2039684	4306656	
2039684	4306701	
2039684	4306734	
2040234	4495175	
2040278	2032491	
2040278	2087558	
2040278	6733772	
2040279	2032492	
2040279	2087559	
2040279	6733894	
2040402	2087624	
2040543	2084513	
2040967	2032521	
2041083	6047642	
2041137	4306669	
2041137	4306724	
2041137	4306759	
2041163	4669539	
2041163	4726741	
2041163	6800694	False
2041527	2086990	
2041788	2086948	
2042124	4185689	
2042332	5802897	
2042332	6203352	
2042332	6465635	
2042332	6799142	
2042332	6800274	
2042332	6800690	False
2043181	2085053	
2043181	4306783	
2043183	2085054	
2043183	4306804	
2043210	4244510	
2043276	5481005	
2043276	5525750	False
2043276	6800494	False
2043346	6800146	
2043347	6800145	
2043457	2087291	
2043457	2087364	
2044003	2075658	False
2044038	4883961	
2044211	6800697	False
2044667	4162940	
2044667	4175526	
2044667	4623729	
2044667	6801701	False
2044809	2085224	
2044810	2085225	
2044816	4147539	
2044816	4147650	
2044816	4147660	
2044816	4147670	
2044816	4147684	
2044816	4147694	
2044816	4230904	
2044816	4230913	
2044816	4231102	
2044816	6800686	False
2044816	6800687	False
2045144	5279937	
2045144	5803098	
2045144	5845461	
2045144	6220887	
2045481	4211123	
2045608	4732366	
2045647	2087272	
2045828	2033002	
2046035	2087266	
2046036	2087265	
2046037	2087264	
2046191	2075138	
2046192	2075139	
2046192	4169838	
2046796	4314159	
2046860	2085233	
2046861	2085234	
2046861	2086980	
2047014	4274748	
2047014	6801514	False
2047015	4274759	
2047015	4520221	
2047015	4644984	
2047150	4725268	
2047185	2084772	
2047216	2087322	
2047216	4581655	
2047301	2084828	
2047301	4519341	
2047606	2084829	False
2048039	2032608	
2048040	2032605	
2048277	4168914	
2048277	4201856	
2048619	2087560	
2048623	2087698	
2048623	2087699	
2048623	2087711	
2048700	5078908	
2048700	5078919	
2048701	2032464	
2048784	2085066	
2048988	2085229	
2048999	4314173	
2049052	2084811	False
2049052	4158059	
2049063	5725651	
2049215	5201251	
2049249	2032326	
2049275	4149543	
2049275	4497031	
2049275	4554733	
2049294	2087179	
2049560	2085040	
2049617	2032777	
2049617	2032778	
2049858	2032754	
2049858	5078855	
2049874	2084797	
2049886	5921365	
2050096	4243814	
2050155	6219932	
2050156	6219946	
2050157	6219957	
2050237	2032673	
2050237	2032674	
2050237	2032675	
2050237	2032676	
2050237	2032780	
2050237	2032867	
2050237	2087152	
2050237	2087664	
2050237	2087714	
2050237	4447951	
2050237	4540652	
2050237	5356464	
2050237	5356486	
2050237	5356505	
2050237	5356517	
2050237	5356528	
2050237	5356540	
2050237	5356555	
2050237	6802297	False
2050237	6802306	False
2050727	2032667	
2050790	2084537	False
2050790	2084814	False
2050792	2084536	False
2050793	2084815	
2050875	2086977	
2050875	2086985	
2051153	4883496	
2051423	4428635	
2051423	4735430	
2051519	2084528	
2051519	6698532	
2051519	6698597	
2051642	4196619	
2051690	2084827	
2051690	4519372	
2051797	4302635	
2052211	2087321	
2052211	4565084	
2053730	2084776	
2054574	6801729	False
2054642	2084858	False
2054842	2084771	
2054842	4168899	
2055116	2032548	
2055400	2085235	
2055448	4157949	
2055466	2075394	
2055474	4286830	
2055499	4175613	
2056085	2075131	
2056085	2085079	
2056085	4158023	
2056085	4158036	
2056085	4158043	
2056095	2086989	
2056167	2086978	
2056333	2085193	
2056432	4156968	
2056432	4158051	
2057064	4156880	
2057245	2087347	
2057245	2087734	
2057473	2085121	
2058495	4194836	
2060411	2075110	
2060411	2084766	
2060411	2087306	
2060669	4647660	
2060669	5162068	
2060669	5162074	
2060669	5162080	
2060669	6801191	False
2060746	4196632	
2060782	6802375	False
2061035	4253835	
2061509	2085059	
2061509	6007804	
2061539	4541074	
2061544	2084820	
2061544	2086864	
2061544	2087501	
2061544	4200174	
2061544	4219984	
2061571	4529874	
2061571	4530065	
2061571	4530208	
2061571	4530717	
2061571	4530771	
2061571	4530797	
2061571	4531454	
2061573	6559052	
2061573	6802385	False
2061854	2085025	False
2061854	6801734	False
2062168	5317582	
2062168	6778437	
2062171	6799926	
2062854	6799925	
2063291	5278727	
2063291	6165820	
2064025	2086869	
2064026	2086870	
2064060	2087263	
2064128	4310473	
2064200	2087696	
2064200	4621513	
2064200	6799876	False
2064761	2084866	
2065214	2087252	
2066066	4669512	
2066066	4726704	
2066066	6800693	False
