WRDocID,Class,Qa_filled,Qi_filled,Purpose,,,
4741409,post-adjudication,40.5,0.22,ST|IR|ST|IR,,,
4741421,post-adjudication,20,0.3,IR|IR,,,
4741431,post-adjudication,7.2,0.03,IR|IR,,,
4741442,post-adjudication,2.4067,0.01,IFlow|MT,,,
4741454,post-adjudication,384.68,1.67,IR|ST,,,
4741468,post-adjudication,25.64,1.5,IFlow,,,
4741478,post-adjudication,116.5,1.91,ST|IR|IR|ST|CN,,,
4741494,post-adjudication,67,0.67,IR|CN|ST|IR|ST,,,
4741511,post-adjudication,45.5,0.32,IR|CN|ST|ST|IR,,,
4741525,post-adjudication,12.25,0.09,CN|IR|ST|ST|IR,,,
4741539,post-adjudication,50,0.91,IR|IR|ST|CN|ST,,,
4741553,post-adjudication,45,0.18,IR|IR,,,
4741563,post-adjudication,1,0.01,DS|DS,,,
4741573,post-adjudication,48.34,1.15,IR|ST|CN,,,
4741587,post-adjudication,69.6,1,ST|IR|IR|ST,,,
4741598,post-adjudication,60.5,0.495,ST|ST|CN|IR|IR,,,
4741612,post-adjudication,2,0.005,ST|ST,,,
4741622,post-adjudication,372,1.02,ST|IR|ST|IR,,,
4741637,post-adjudication,2,0.01,ST|ST,,,
4741647,post-adjudication,13,0.018,DM|DM,,,
4741657,post-adjudication,77.8,0.26,IR|IR|IR,,,
4741668,post-adjudication,132.5,0.745,IR,,,
4741684,post-adjudication,8,0.58,CI,,,
4741715,post-adjudication,2.2,1,CI,,,
4741746,post-adjudication,1,0.02,DM,,,
4741756,post-adjudication,11.412,0.0634,IR,,,
4741765,post-adjudication,7.38,0.041,IR|IR,,,
4741775,post-adjudication,103,0.62,IR,,,
4741784,post-adjudication,125,0.75,IR|IR,,,
4741794,post-adjudication,22.56,0.12,IR|IR,,,
4741804,post-adjudication,7.42,0.0412,IR|IR,,,
4741814,post-adjudication,32.68,0.19,IR|IR,,,
4741826,post-adjudication,1.72,0.01,IR,,,
4741842,post-adjudication,102.86,0.6,IR,,,
4741859,post-adjudication,5.16,0.03,IR,,,
4741871,post-adjudication,3.68,0.02,IR,,,
4741884,post-adjudication,5.95,0.03,IR,,,
4741896,post-adjudication,4.15,0.02,IR,,,
4741908,post-adjudication,4.15,0.02,IR,,,
4741920,post-adjudication,10.72,0.06,IR,,,
4741932,post-adjudication,83.76,0.49,IR,,,
4741945,post-adjudication,25.84,0.15,IR,,,
4741957,post-adjudication,5.37,0.03,IR,,,
4741969,post-adjudication,32.34,0.19,IR,,,
4741985,post-adjudication,40.42,0.24,IR,,,
4742000,post-adjudication,14.28,0.08,IR,,,
4742013,post-adjudication,21553,213.2,ST|IR,,,
4742044,post-adjudication,NA,NA,FS,,,
4742052,post-adjudication,235.84,0.67,IR|IR,,,
4742063,post-adjudication,132,0.38,IR|IR,,,
4742074,post-adjudication,18.23,0.02,IR|IR,,,
4742086,post-adjudication,22.36,0.13,IR|IR,,,
4742098,post-adjudication,0.86,0.005,IR,,,
4742110,post-adjudication,11.4,0.07,IR,,,
4742122,post-adjudication,20.64,0.12,IR,,,
4742135,post-adjudication,3.11,0.02,IR,,,
4742147,post-adjudication,18.78,0.11,IR,,,
4742160,post-adjudication,5.16,0.03,IR,,,
4742173,post-adjudication,79.9,0.48,IR,,,
4742188,post-adjudication,3.65,0.02,IR,,,
4742200,post-adjudication,3.11,0.02,IR,,,
4742212,post-adjudication,2.37,0.01,IR,,,
4742224,post-adjudication,42.86,0.25,IR,,,
4742237,post-adjudication,8.43,0.05,IR,,,
4742252,post-adjudication,2.06,0.01,IR,,,
4742268,post-adjudication,125.4,0.356,ST|ST|IR|IR,,,
4742280,post-adjudication,317.7,0.9,IR|ST|IR|ST,,,
4742292,post-adjudication,134.64,0.383,IR|IR,,,
4742303,post-adjudication,46.9,0.17,IR|IR,,,
4742314,post-adjudication,273,0.98,IR|FP|IR,,,
4742326,post-adjudication,154,0.44,IR|ST|ST|IR,,,
4742338,post-adjudication,654.72,1.86,IR|IR,,,
4742349,post-adjudication,363.88,1.034,IR|ST|ST|IR,,,
4742363,post-adjudication,321.64,0.92,IR|IR,,,
4742375,post-adjudication,105.6,0.3,IR|IR,,,
4742386,post-adjudication,18.26,0.052,IR|IR,,,
4742398,post-adjudication,91.08,0.259,IR|IR,,,
4742410,post-adjudication,35.2,0.1,IR|IR,,,
4742421,post-adjudication,1.1,0.003,IR|IR,,,
4742432,post-adjudication,8.8,0.025,IR|IR,,,
4742443,post-adjudication,11,0.03,IR|IR,,,
4742454,post-adjudication,136.4,0.388,IR|IR,,,
4742466,post-adjudication,323.4,0.919,IR|IR,,,
4742477,post-adjudication,105.6,0.3,IR|IR,,,
4742488,post-adjudication,101.2,0.29,IR|IR,,,
4742499,post-adjudication,135.5,0.385,IR|ST|ST|IR,,,
4742511,post-adjudication,140.8,0.4,IR|ST|ST|IR,,,
4742525,post-adjudication,37.4,0.106,ST|IR|ST|IR,,,
4742537,post-adjudication,26.4,0.33,IR|IR,,,
4742549,post-adjudication,19.8,0.056,ST|IR|IR|ST,,,
4742561,post-adjudication,101.2,0.288,IR|IR|ST|ST,,,
4742573,post-adjudication,13.43,0.08,IR|IR,,,
4742586,post-adjudication,19.95,0.12,IR|IR,,,
4742601,post-adjudication,30.22,0.18,IR|IR,,,
4742614,post-adjudication,21.72,0.13,IR|IR,,,
4742626,post-adjudication,4.2,0.015,IR|IR,,,
4742637,post-adjudication,6.13,0.022,IR|IR,,,
4742648,post-adjudication,4.9,0.018,IR|IR,,,
4742659,post-adjudication,19.95,0.07,IR|IR,,,
4742670,post-adjudication,5.5,0.02,IR|IR,,,
4742681,post-adjudication,5.85,0.02,IR|IR,,,
4742693,post-adjudication,6.13,0.022,IR|IR,,,
4742704,post-adjudication,3.3,0.01,IR|IR,,,
4742715,post-adjudication,6.13,0.022,IR|IR,,,
4742726,post-adjudication,6.13,0.022,IR|IR,,,
4742737,post-adjudication,6.13,0.022,IR|IR,,,
4742748,post-adjudication,2.2,0.006,IR|IR,,,
4742759,post-adjudication,22,0.063,IR|IR,,,
4742772,post-adjudication,3.3,0.01,IR|IR,,,
4742784,post-adjudication,7.92,0.023,IR|IR,,,
4742795,post-adjudication,14.62,0.09,IR|IR,,,
4742808,post-adjudication,3.84,0.02,IR|IR|ST|ST,,,
4742826,post-adjudication,3.44,0.02,IR,,,
4742840,post-adjudication,34.4,0.2,IR,,,
4742853,post-adjudication,8.6,0.05,IR|IR,,,
4742868,post-adjudication,31.54,0.18,IR|IR,,,
4742886,post-adjudication,119.4,0.69,IR|IR,,,
4742907,post-adjudication,2.55,0.01,IR,,,
4742921,post-adjudication,6.91,0.04,IR|IR,,,
4742935,post-adjudication,4.02,0.02,IR|IR,,,
4742951,post-adjudication,5.26,0.03,IR,,,
4742964,post-adjudication,1.82,0.01,IR,,,
4742978,post-adjudication,3.68,0.02,IR,,,
4742993,post-adjudication,2.13,0.01,IR,,,
4743006,post-adjudication,27.26,0.16,IR,,,
4743023,post-adjudication,122.12,0.71,IR,,,
4743036,post-adjudication,56.76,0.33,IR,,,
4743052,post-adjudication,40,0.23,IR|IR,,,
4743065,post-adjudication,27.92,0.16,IR|IR,,,
4743081,post-adjudication,1.53,0.01,IR|IR,,,
4743094,post-adjudication,58.38,0.34,IR|IR,,,
4743110,post-adjudication,0.45,0.003,IR|IR,,,
4743123,post-adjudication,158.52,0.92,IR,,,
4743137,post-adjudication,5.16,0.03,IR|IR,,,
4743151,post-adjudication,5.16,0.03,IR|IR,,,
4743165,post-adjudication,27.43,0.16,IR|IR,,,
4743179,post-adjudication,0.5,0.01,DS|DS,,,
4743189,post-adjudication,1,0.01,DS,,,
4743199,post-adjudication,45.5,0.18,IR|IR|ST|ST,,,
4743212,post-adjudication,5,0.1,IR|IR,,,
4743224,post-adjudication,1.5,0.005,RE|DM,,,
4743236,post-adjudication,9,0.05,IR|IR,,,
4743246,post-adjudication,0.5,0.01,DS|DS,,,
4743256,post-adjudication,50,0.18,IR|IR,,,
4743269,post-adjudication,1,0.01,DS|DS,,,
4743279,post-adjudication,1.5,0.03,DM|RE|DM,,,
4743290,post-adjudication,77,0.4,IR|IR,,,
4743300,post-adjudication,36,0.25,IR|IR,,,
4743310,post-adjudication,NA,1.3,CI|CI,,,
4743327,post-adjudication,180,0.5,IR|IR,,,
4743340,post-adjudication,NA,3,CI,,,
4743349,post-adjudication,NA,3,CI,,,
4743358,post-adjudication,180,0.46,IR|ST,,,
4743368,post-adjudication,202.5,1,IR|ST|IR,,,
4743382,post-adjudication,NA,2,CI|CI,,,
4743392,post-adjudication,120,1.1,CI|CI,,,
4743403,post-adjudication,2,0.02,ST|ST,,,
4743413,post-adjudication,10,0.07,DS|IR|IR|DS,,,
4743424,post-adjudication,1,0.02,DS|DS,,,
4743436,post-adjudication,4.5,0.05,IR|IR,,,
4743447,post-adjudication,3,0.02,ST|DS|ST|DS,,,
4743458,post-adjudication,2,0.02,IR|IR|DS|DS,,,
4743469,post-adjudication,8,0.04,ST|ST,,,
4743479,post-adjudication,3.38,0.02,IR|IR,,,
4743491,post-adjudication,43.5,0.06,RE|DM|DM,,,
4743504,post-adjudication,3.5,0.045,DM|DM,,,
4743514,post-adjudication,2,0.02,DS|IR|IR|DS,,,
4743526,post-adjudication,1,0.02,DS|DS,,,
4743536,post-adjudication,2,0.02,DS|DS,,,
4743546,post-adjudication,NA,0.01,RE,,,
4743557,post-adjudication,0.5,0.01,DS|DS,,,
4743567,post-adjudication,0.5,0.01,DS|DS,,,
4743577,post-adjudication,1,0.02,DM|DM,,,
4743597,post-adjudication,0.5,0.01,DS|DS,,,
4743608,post-adjudication,5,0.05,DM|DM|ST|ST,,,
4743619,post-adjudication,3,0.03,DS|ST|DS|ST,,,
4743630,post-adjudication,4,0.033,IR|ST|DS,,,
4743642,post-adjudication,4,0.022,DS|DS|IR|IR,,,
4743655,post-adjudication,2,0.02,DS|DS,,,
4743665,post-adjudication,6,0.033,IR|IR,,,
4743676,post-adjudication,1,0.01,ST|ST,,,
4743686,post-adjudication,1,0.0022,ST|ST,,,
4743696,post-adjudication,13,0.02,ST|ST,,,
4743706,post-adjudication,NA,0.5,FS,,,
4743716,post-adjudication,1,0.0022,ST|ST,,,
4743726,post-adjudication,4,0.04,DS|DS|ST|ST,,,
4743739,post-adjudication,0.5,0.005,DS|DS,,,
4743749,post-adjudication,2,0.2,DM,,,
4743759,post-adjudication,1,0.03,ST|DS|ST,,,
4743770,post-adjudication,0.5,0.01,MI,,,
4743780,post-adjudication,2,0.01,DS,,,
4743790,post-adjudication,4,0.04,DM,,,
4743800,post-adjudication,1,0.005,DM,,,
4743810,post-adjudication,6,0.13,DM,,,
4743820,post-adjudication,1,0.01,DM,,,
4743830,post-adjudication,2,0.011,ST|ST,,,
4743840,post-adjudication,1,0.005,ST|ST,,,
4743850,post-adjudication,1,0.005,ST|ST,,,
4743860,post-adjudication,3.6,0.01,RE,,,
4743870,post-adjudication,1,0.005,ST|ST,,,
4743880,post-adjudication,1,0.005,ST|ST,,,
4743890,post-adjudication,1,0.005,ST|ST,,,
4743900,post-adjudication,1,0.005,ST|ST,,,
4743910,post-adjudication,0.285,0.002,ST|ST|WL,,,
4743921,post-adjudication,7.2,0.01,ST|ST,,,
4743931,post-adjudication,0.5,0.01,DS,,,
4743942,post-adjudication,1,0.01,DS|DS,,,
4743952,post-adjudication,1.5,0.01,NA,,,
4743963,post-adjudication,1,0.02,DS|DS,,,
4743973,post-adjudication,2,0.006,DM,,,
4743983,post-adjudication,2,0.02,DS|ST|RE|ST,,,
4743996,post-adjudication,99,0.99,IFlow,,,
4744018,post-adjudication,1,0.02,DS|DS,,,
4744029,post-adjudication,2,0.02,ST|ST|DS|DS,,,
4744041,post-adjudication,1.6,0.0022,ST|ST,,,
4744051,post-adjudication,2.5,0.02,ST|IR|DS|IR|ST,,,
4744063,post-adjudication,2,0.02,DS|DS,,,
4744075,post-adjudication,1,0.01,DS|DS,,,
4744085,post-adjudication,0.5,0.01,ST|ST,,,
4744095,post-adjudication,1,0.01,ST|ST,,,
4744105,post-adjudication,2,0.02,DS|IR|DS|IR,,,
4744116,post-adjudication,5,0.01,DS|ST|DS|ST,,,
4744127,post-adjudication,1,0.01,ST|ST,,,
4744137,post-adjudication,200,1,ST|IR|IR|ST,,,
4744148,post-adjudication,2,0.02,IR|ST|ST|IR,,,
4744161,post-adjudication,1,0.016,IR|ST|ST|IR,,,
4744173,post-adjudication,64.7,0.19,ST|IR|ST|IR,,,
4744184,post-adjudication,5.3,0.01,ST|ST|IR|IR,,,
4744195,post-adjudication,1,0.01,DS|DS,,,
4744205,post-adjudication,2,0.01,IR|ST|IR|ST|DS|DS,,,
4744217,post-adjudication,2,0.02,IR|DS|ST|ST|DS|IR,,,
4744229,post-adjudication,79.2,0.25,IR|IR,,,
4744239,post-adjudication,2,0.02,IR|DS|DS|IR,,,
4744252,post-adjudication,11,0.12,ST|IR|ST|IR,,,
4744265,post-adjudication,28,0.22,ST|ST,,,
4744275,post-adjudication,1,0.01,CI|HW,,,
4744285,post-adjudication,1,0.01,HW|CI,,,
4744295,post-adjudication,1,0.01,HW|CI,,,
4744305,post-adjudication,1,0.01,HW|CI,,,
4744315,post-adjudication,0.9,0.02,DS|DS,,,
4744325,post-adjudication,1,0.007,NA,,,
4744334,post-adjudication,200,1,IR|IR|ST|ST,,,
4744345,post-adjudication,3.5,0.01,ST|ST,,,
4744355,post-adjudication,1.77,0.0111,CI,,,
4744364,post-adjudication,1.18,0.0089,CI,,,
4744373,post-adjudication,0.88,0.0111,CI,,,
4744382,post-adjudication,0.88,0.0111,CI,,,
4744391,post-adjudication,1,0.0022,CI,,,
4744400,post-adjudication,3.5,0.01,ST|ST,,,
4744410,post-adjudication,6,0.06,ST|ST,,,
4744420,post-adjudication,3,0.03,ST|IR,,,
4744429,post-adjudication,22,0.123,DS|IR|ST,,,
4744438,post-adjudication,1,0.02,DS|DS,,,
4744448,post-adjudication,2,0.02,ST|ST,,,
4744458,post-adjudication,7,0.06,ST,,,
4744468,post-adjudication,8,0.05,IR|IR,,,
4744478,post-adjudication,14,0.02,DM|IR|ST|ST|IR|DM,,,
4744490,post-adjudication,2.5,0.04,DS|DS|IR|IR,,,
4744503,post-adjudication,168,1,MU,,,
4744518,post-adjudication,0.25,0.01,ST|ST,,,
4744530,post-adjudication,121,0.46,ST|IR|ST|IR,,,
4744541,post-adjudication,2,0.02,DM,,,
4744551,post-adjudication,2,0.01,DS,,,
4744561,post-adjudication,1.5,0.025,NA,,,
4744571,post-adjudication,188,0.95,IR|ST,,,
4744580,post-adjudication,3,0.02,ST|ST|DS|DS,,,
4744591,post-adjudication,1,0.01,DS|DS,,,
4744601,post-adjudication,4,0.02,DS|IR|IR|DS,,,
4744612,post-adjudication,2,0.01,DS|DS,,,
4744622,post-adjudication,7,0.035,ST|FS|RE,,,
4744631,post-adjudication,260,2,IR|IR,,,
4744643,post-adjudication,2,0.01,DS|DS,,,
4744654,post-adjudication,NA,0.5,FS,,,
4744665,post-adjudication,300,2,IR|IR,,,
4744676,post-adjudication,1,0.01,CI|HW,,,
4744686,post-adjudication,1,0.01,HW|CI,,,
4744696,post-adjudication,NA,1.94,FS|FS,,,
4744707,post-adjudication,5,0.01,DS|DS,,,
4744717,post-adjudication,7.5,0.06,IR|IR,,,
4744729,post-adjudication,60,0.24,IR,,,
4744738,post-adjudication,18.6,0.044,IR|IR,,,
4744748,post-adjudication,21,0.2,IR|IR,,,
4744759,post-adjudication,39,0.13,IR,,,
4744770,post-adjudication,0.5,0.01,DS|DS,,,
4744780,post-adjudication,285,1,IR|IR|ST|ST,,,
4744791,post-adjudication,3,0.05,DM,,,
4744801,post-adjudication,80.8,0.26,DM|IR|IR|DM,,,
4744812,post-adjudication,16.8,0.04,IR|IR,,,
4744824,post-adjudication,10,0.2,MU,,,
4744834,post-adjudication,0.206,0.002,WL|ST|ST,,,
4744845,post-adjudication,16.91,0.1,IR,,,
4744857,post-adjudication,1.29,0.01,IR,,,
4744869,post-adjudication,133.39,0.78,IR,,,
4744881,post-adjudication,10.78,0.06,IR,,,
4744893,post-adjudication,2.06,0.01,IR,,,
4744906,post-adjudication,1.29,0.01,IR,,,
4744918,post-adjudication,68.82,0.4,IR,,,
4744935,post-adjudication,15.7,0.09,IR,,,
4744948,post-adjudication,30.15,0.18,IR,,,
4744960,post-adjudication,6.88,0.04,IR,,,
4744972,post-adjudication,11.89,0.07,IR,,,
4744986,post-adjudication,8.79,0.05,IR,,,
4745000,post-adjudication,2.58,0.02,IR|IR,,,
4745012,post-adjudication,5.16,0.03,IR|IR,,,
4745024,post-adjudication,2.55,0.01,IR|IR,,,
4745036,post-adjudication,15.12,0.09,IR,,,
4745048,post-adjudication,6.88,0.04,IR|IR,,,
4745060,post-adjudication,65.33,0.38,IR|IR,,,
4745074,post-adjudication,4.3,0.03,IR|IR,,,
4745086,post-adjudication,29.35,0.17,IR|IR,,,
4745101,post-adjudication,5.28,0.03,IR|IR,,,
4745113,post-adjudication,5.28,0.03,IR|IR,,,
4745125,post-adjudication,1.72,0.01,IR|IR,,,
4745137,post-adjudication,4.4,0.03,IR,,,
4745161,post-adjudication,2.65,0.02,IR,,,
4745173,post-adjudication,5.13,0.03,IR,,,
4745185,post-adjudication,8.27,0.05,IR,,,
4745197,post-adjudication,8.6,0.05,IR,,,
4745210,post-adjudication,34.4,0.2,IR,,,
4745223,post-adjudication,17.23,0.1,IR,,,
4745235,post-adjudication,1.46,0.01,IR,,,
4745250,post-adjudication,13.16,0.08,IR,,,
4745265,post-adjudication,5.4,0.03,IR,,,
4745277,post-adjudication,7.31,0.04,IR,,,
4745290,post-adjudication,33.71,0.2,IR,,,
4745304,post-adjudication,13.45,0.08,IR,,,
4745316,post-adjudication,3.44,0.02,IR,,,
4745328,post-adjudication,3.51,0.02,IR,,,
4745340,post-adjudication,25.82,0.15,IR,,,
