docid,WRIA_ID,Phase,Purpose,date,Qa_WRTS,Qi_WRTS,IA_WRTS,reltype_WRTS,water_duty,Qa_start_filled,Qa_end_filled,Qa_start,Qa_end,Qi_start,Qi_end,IA_start,IA_end,type,nc
2054087,45,Claim,IR,5/19/1986,20,50,5,full,4,20,0,20,0,,,,,abandoned,no
2069247,38,Claim,IR|DG,10/16/1990,NA,NA,12,full,4.210383275,42,0,42,0,,,,,abandoned,no
2083121,45,Certificate,CI|MU,NA,560,350,NA,full,3.96,560,0,560,0,350,0,,,abandoned,no
2083424,40,Certificate,MU,10/5/2004,1920,1200,NA,full,3.870967742,1920,0,1920,0,1200,0,,,abandoned,no
2084212,45,Certificate,MU|CI,NA,11,250,NA,full,3.96,11,0,11,0,250,0,,,abandoned,no
2132422,59,Certificate,DM,5/3/2017,134,0.25,NA,full,3,134,0,134,0,0.25,0,,,abandoned,no
2051798,45,Claim,IR|ST,7/10/2006,800,200,400,partial,4,800,0,800,0,,,,,abandoned,no
2076417,49,Certificate,IR,1/1/1901,40,0.222,10,full,4,40,0,40,0,0.222,0,10,0,full relinquishment,no
2076808,30,Certificate,DM|ST,1/1/1901,3,0.04,NA,full,1.775,3,0,3,0,0.04,0,,,full relinquishment,no
2077012,47,Certificate,DS,1/1/1901,1,0.02,NA,full,4,1,0,1,0,0.02,0,,,full relinquishment,no
2077032,47,Certificate,IR,6/16/1982,7,0.06,2,full,4,7,0,7,0,0.06,0,2,0,full relinquishment,no
2077092,49,Certificate,DS,4/18/1988,2,0.02,NA,full,4,2,0,2,0,0.02,0,,,full relinquishment,no
2077210,30,Certificate,DS,1/1/1901,2,0.02,NA,full,1.775,2,0,2,0,0.02,0,,,full relinquishment,no
2077247,40,Certificate,CI,9/29/2010,260,0.44,NA,full,3.870967742,260,0,260,0,0.44,0,,,full relinquishment,no
2077275,45,Certificate,DM|FR,1/1/1901,3.6,0.005,NA,full,3.96,3.6,0,3.6,0,0.005,0,,,full relinquishment,no
2077279,45,Certificate,MI|DS,9/29/2010,4,0.25,NA,full,3.96,4,0,4,0,0.25,0,,,full relinquishment,no
2077389,30,Certificate,DS,1/1/1901,1,0.01,NA,full,1.775,1,0,1,0,0.01,0,,,full relinquishment,no
