WaRecId,WaRecChangeIntentTypeCode
2032955,AddSource
2032955,ChangeSource
2223085,ChangePlaceOfUse
2223085,AddSource
4253040,ChangePlaceOfUse
4253040,ChangeSource
4503266,ChangePartOfWR
4503266,ChangeSource
4503266,ChangePurpose
4503266,ChangePlaceOfUse
4546265,AddSource
4546265,ChangeEntireWR
4237819,ChangeSource
4237819,ChangePlaceOfUse
4237819,WRAOther
4237819,ChangePurpose
4237857,ChangePurpose
4237857,ChangeSource
4237857,ChangePlaceOfUse
4663897,ChangeSource
4663897,ChangePlaceOfUse
4663897,WRAOther
6626043,ChangeEntireWR
6626043,ChangePlaceOfUse
6626043,ChangeOther
6625945,ChangeOther
6625945,ChangePlaceOfUse
4162310,ChangePlaceOfUse
4162310,ChangeOther
2032416,AddSource
2032416,ChangeSource
2032416,ChangePlaceOfUse
2032416,ChangePurpose
4683759,WRAOther
2032434,ChangeSource
2032490,ChangeSource
2032490,ChangeEntireWR
4169323,AddSource
2032600,AddSource
2032600,ChangePlaceOfUse
2032601,AddSource
2032601,ChangePlaceOfUse
6799847,ChangePlaceOfUse
6799847,ChangePurpose
6799847,ChangeEntireWR
6799847,AddSource
6799846,ChangePlaceOfUse
6799846,ChangePurpose
6799846,AddSource
6799846,ChangeEntireWR
4688900,ChangePlaceOfUse
4663961,AddSource
6009544,ChangePlaceOfUse
2086994,AddSource
2086994,ChangeSource
2087656,ChangeSource
2087175,ChangeSource
5320009,ChangeSource
5320009,WRAOther
5320009,AddPurpose
2086981,ChangeSource
2086981,ChangePlaceOfUse
4306701,ChangeSource
2087624,ChangeSource
2084513,ChangePlaceOfUse
2084513,ChangeSource
4306724,ChangeSource
2086948,ChangeSource
2086948,ChangePlaceOfUse
4185689,ChangePlaceOfUse
2085053,ChangeSource
4306783,ChangeSource
4306783,ChangePlaceOfUse
2085054,ChangeSource
4306804,ChangeSource
4306804,ChangePlaceOfUse
6800697,ChangeOther
6800697,ChangeSource
6800697,ChangePlaceOfUse
4162940,ChangeSource
2085224,AddSource
2085224,ChangeSource
2085225,AddSource
2085225,ChangePurpose
2085225,ChangeSource
4147539,ChangeSource
4147650,ChangeSource
4147660,ChangeSource
4147670,ChangeSource
4147684,ChangeSource
4147684,ChangePartOfWR
6220887,ChangeOther
6220887,ChangeSource
4211123,ChangePlaceOfUse
4732366,AddSource
4314159,AddSource
4314159,ChangePlaceOfUse
4314159,ChangePurpose
4274748,WRAOther
4725268,AddPurpose
4725268,ChangePlaceOfUse
4725268,AddSource
4725268,ChangeOther
2084829,ChangeSource
2084829,AddSource
2087560,ChangePurpose
2087560,ChangePlaceOfUse
2087560,AddSource
2087560,ChangeSource
2087698,ChangeSource
2087698,AddSource
2087699,ChangeSource
2087699,AddSource
2087711,ChangeSource
2087711,AddSource
2032464,ChangeSource
2032464,AddSource
2085229,AddSource
4314173,AddSource
4314173,ChangePurpose
4314173,ChangePlaceOfUse
2084811,AddSource
5725651,ChangeEntireWR
5725651,AddSource
5201251,AddSource
4149543,ChangeSource
2087179,ChangePurpose
5921365,ChangePurpose
5921365,WRAOther
5921365,ChangePlaceOfUse
5921365,ChangeEntireWR
2084814,ChangeSource
2084536,ChangePurpose
2084536,ChangePlaceOfUse
2084536,ChangeSource
2084815,ChangePlaceOfUse
2086977,AddSource
2086985,AddSource
4883496,ChangeSource
2084528,ChangePurpose
4519372,AddSource
4519372,ChangePlaceOfUse
2084858,ChangeSource
2085235,AddSource
4175613,ChangePlaceOfUse
2075131,ChangePlaceOfUse
2075131,AddSource
2085079,AddSource
4158023,AddSource
4158036,ChangePlaceOfUse
4158036,ChangeSource
4158043,ChangeSource
2075110,ChangePurpose
4647660,AddSource
4647660,ChangeEntireWR
4647660,ChangePlaceOfUse
2086864,AddSource
2086864,ChangePlaceOfUse
2087501,ChangeOther
2087501,AddSource
4219984,ChangeSource
4530065,ChangeSource
4530065,Consolidate
4530208,ChangeSource
4530208,ChangeOther
4530717,ChangeSource
4530717,ChangeOther
4530771,ChangeSource
