WaRecId,Parent,Parent_Qi,ChildQi
2272126,2282613,0.44,-0.11
2271919,2276761,0.4,-0.16
2224462,2274060,8.89,-1.5
4394899,2208557,0.67,-0.51
4394930,2208949,0.25,-0.09
2147773,2218337,0.56,-0.18
2154083,2219704,2.1,-0.11
4175336,2095861,0.61,-0.31
2088839,2135885,0.86,-0.303
2088840,2135884,0.86,-0.303
2088847,2142031,0.47,-0.02
4153104,2141809,0.67,-0.02
4669809,4845627,2.2,-0.42
4506418,2139420,0.78,-0.22
5603592,2089594,0.48,-0.06
5603620,4204658,0.37,-0.17
6799664,6465112,4.44,-0.36
6166220,2218119,1.33,-0.51
2086766,2080713,1.51,-0.4
2223408,2218498,0.33,-0.16
2224436,2282531,1.56,-0.56
2272120,2282565,0.44,-0.11
6506656,2280735,0.8,-0.31
2285751,4188953,2.22,-1.33
4273501,2280648,0.11,-0.06
2145533,2144802,3.04,-0.16
4668956,2283549,11.14,-0.22
2085028,2084370,1.11,-0.33
2085115,2082922,1,-0.06
4163905,2079625,0.25,-0.03
4695881,2282931,2.67,-0.89
2087490,2283620,0.67,-0.22
2129450,2140865,0.89,-0.18
2147276,2215355,0.44,-0.28
4157949,2055448,3,-2
5603677,4205602,0.35,-0.21
2086982,4175232,0.5,-0.28
5603723,4199673,1.78,-0.45
