WRIA_ID,WRIA_NM,Reg
1,Nooksack,NWRO
2,San Juan,NWRO
3,Lower Skagit-Samish,NWRO
4,Upper Skagit,NWRO
5,Stillaguamish,NWRO
6,Island,NWRO
7,Snohomish,NWRO
8,Cedar-Sammamish,NWRO
9,Duwamish-Green,NWRO
10,Puyallup-White,SWRO
11,Nisqually,SWRO
12,Chambers-Clover,SWRO
13,Deschutes,SWRO
14,Kennedy-Goldsborough,SWRO
15,Kitsap,NWRO
16,Skokomish-Dosewallips,SWRO
17,Quilcene-Snow,SWRO
18,Elwha-Dungeness,SWRO
19,Lyre-Hoko,SWRO
20,Sol Duc-Hoh,SWRO
21,Queets-Quinault,SWRO
22,Lower Chehalis,SWRO
23,Upper Chehalis,SWRO
24,Willapa,SWRO
25,Grays-Elokoman,SWRO
26,Cowlitz,CRO
27,Lewis,SWRO
28,Salmon-Washougal,SWRO
29,Wind-White Salmon,CRO
30,Klickitat,CRO
31,Rock-Glade,CRO
32,Walla Walla,ERO
33,Lower Snake,ERO
34,Palouse,ERO
35,Middle Snake,ERO
36,Esquatzel Coulee,ERO
37,Lower Yakima,CRO
38,Naches,CRO
39,Upper Yakima,CRO
40,Alkali-Squilchuck,CRO
41,Lower Crab,CRO
42,Grand Coulee,CRO
43,Upper Crab-Wilson,ERO
44,Moses Coulee,CRO
45,Wenatchee,CRO
46,Entiat,CRO
47,Chelan,CRO
48,Methow,CRO
49,Okanogan,CRO
50,Foster,CRO
51,Nespelem,ERO
52,Sanpoil,CRO
53,Lower Lake Roosevelt,CRO
54,Lower Spokane,ERO
55,Little Spokane,ERO
56,Hangman,ERO
57,Middle Spokane,ERO
58,Middle Lake Roosevelt,ERO
59,Colville,ERO
60,Kettle,CRO
61,Upper Lake Roosevelt,ERO
62,Pend Oreille,ERO
