WaRecChangeIntentId,WaRecProcessId,WaRecChangeIntentTypeCode,WaRecChangeIntentTypeOtherDS,WaRecChangeIntentDispTypeCD,SeasonalOrTempChangeStartDate,SeasonalOrTempChangeEndDate,CreatedByUserName,CreatedDatetime,ModifiedByUserName,ModifiedDatetime
1,2087180,ChangePurpose,,,,,1,12/6/2004,1,12/6/2004
2,4194311,ChangePurpose,,,,,1,8/29/2007,1,8/29/2007
3,4193254,ChangePurpose,,,,,1,8/29/2007,1,8/29/2007
4,4193739,ChangePurpose,,,,,1,8/29/2007,1,8/29/2007
5,2032777,ChangePurpose,,,,,1,2/3/2010,1,2/3/2010
6,2032778,ChangePurpose,,,,,1,2/3/2010,1,2/3/2010
7,2075479,ChangePurpose,,,,,1,4/18/2011,1,4/18/2011
8,2032847,ChangePurpose,,,,,1,7/14/2011,1,7/14/2011
9,2085228,ChangePurpose,,,,,1,8/7/2012,1,8/7/2012
10,2087221,ChangePurpose,,,,,1,10/12/2012,1,10/12/2012
11,4247882,ChangePurpose,,,,,1,2/27/2013,1,2/27/2013
12,2087559,ChangePurpose,,,,,1,7/31/2013,1,7/31/2013
13,2087558,ChangePurpose,,,,,1,7/31/2013,1,7/31/2013
14,2087516,ChangePurpose,,,,,1,9/12/2013,1,9/12/2013
15,2087513,ChangePurpose,,,,,1,9/12/2013,1,9/12/2013
16,4185859,ChangePurpose,,,,,1,1/22/2014,1,1/22/2014
17,2088928,ChangePurpose,,,,,1,4/7/2014,1,4/7/2014
18,4550769,ChangePurpose,,,,,1,6/3/2014,1,6/3/2014
19,4594266,ChangePurpose,,,,,1,6/3/2014,1,6/3/2014
20,4594619,ChangePurpose,,,,,1,6/3/2014,1,6/3/2014
21,2087370,ChangePurpose,,,,,1,9/10/2014,1,9/10/2014
22,2087138,ChangePurpose,,,,,1,3/24/2015,1,3/24/2015
23,4294206,ChangePurpose,,,,,ARHA461,10/10/2013,ARHA461,10/10/2013
24,2271913,ChangePurpose,,,,,ARHA461,3/19/2014,ARHA461,3/19/2014
25,4484859,ChangePurpose,,,,,ARHA461,6/8/2015,ARHA461,6/8/2015
26,4484967,ChangePurpose,,,,,ARHA461,7/24/2015,ARHA461,7/24/2015
27,5403919,ChangePurpose,,,,,ARHA461,8/21/2015,ARHA461,8/21/2015
28,2272154,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
29,2285795,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
30,2285803,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
31,4238639,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
32,4292927,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
33,4294215,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
34,4471885,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
35,4484845,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
36,4484873,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
37,4505045,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
38,5281769,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
39,2224233,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
40,2224269,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
41,2272121,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
42,2224432,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
43,2224216,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
44,2271952,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
45,2271955,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
46,2271996,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
47,2271997,ChangePurpose,,,,,ARHA461,8/28/2015,ARHA461,8/28/2015
