Child,Parent,Parent_Qa,relinqQa
2143391,2120937,100,17.5
6047642,2041083,280,234.6
6569690,2077378,58.5,7
6563039,2120468,300,150
4173512,2132819,160,87.5
2145005,2134187,125,0.9
2129558,2134299,100,5
2129557,2134406,225,7
4157513,2134437,168.5,51.62
4156340,2134438,100,26.54
2145459,2134536,60,14.46
4149568,2134712,42.5,1.1
2089818,2134713,35,5
5282269,2134818,125,0.3
2145656,2134835,10,2.8
4163996,2135117,522,382.5
4170002,2135398,400,20
4540737,2135890,30,29
5162990,2136075,320,7.2
2145006,2136617,280,0.9
4547666, 2137072,280,24
4166049,2137740,560,281.25
6418772,2138841,1675.5,567.5
6799138,2139600,60,50
2088913,2140763,322,77.2
4187838,2140839,217,215
2129610,2141713,640,520
2129736,2142675,400,140
4460331,2142704,315,309.6
4475174,2142705,450,163
4184218,2211496,160,100
6802212,2215246,155.6,58.4
2223054,2223053,15,3
2271962,2279356,7,5.967
2075333,2084040,132,52.7
4418916,4445483,1740,690
4923811,4923811,97.5,22.1
6801781,5201568,8216,364.8
6801780,5355616,3685,27.5
4172857,6674979,320,2
2032548,2055116,360,71
4184308,2079622,60,60
4184348,2079624,146.4,78
6323798,2081274,190,87
2145945,2114243,132,44
2084745,2078764,576,36.52
2084777,2079854,4800,4800
2084775,2079855,600,600
6418765,2122786,25,25
4549047,2128692,1000,1000
2084749,2077567,240,240
2075391,2080068,160,160
2087181,2081938,389,389
2087594,2083103,240,240
2087596,2083104,684,684
2087597,2083145,160,160
2087598,2083146,320,320
2087593,2083418,466,466
6009734,2095544,350,350
6705360,2098989,400,400
6705424,2098990,1600,1600
6705464,2098991,800,800
6705538,2098992,800,800
6705578,2098993,800,800
6705648,2098997,7200,7200
4242239,2115325,2,2
6705238,2128692,1000,0
6461641,2129178,520,520
4169838,2046192,120,120
2087595,2083419,240,240
2075373,2084100,15,15
2089236,2118176,160,160
4173581,2133812,42.48,42.48
4173588,2133905,34.5,34.5
4200643,2134025,20,20
6270539,2134407,20,20
4274965,2135620,240,240
4688025,2136867,15,15
4155039,2139642,269,269
4410973,2141644,400,400
4536272,2142658,320,320
2089035,2143062,487,487
2143318,2143508,345,345
4194148,2206863,548,548
2222880,2219426,200,200
2147302,2220533,6,6
2206386,2220794,330,330
2206385,2220797,1620,1620
2221056,2221312,3,3
2222968,2221504,21,21
4245232,2222528,140,140
4145858,2245038,50,50
4175428,2283741,15,15
5199918,4440351,256,256
6361497,"	4633492",980,980
2086857,2086857,87,87
4249180,2079494,25,25
2143368,2143367,300,300
2084777,2079854,4800,4800
2084775,2079855,600,600
6418765,2122786,25,25
4549047,2128692,1000,1000
4259629,2284150,160,9.8
6418315,2095228,840,18
4235638,2076414,92.5,20.84
2032450,2080039,5465.62,9.6
2032451,2080039,5465.62,4
2032832,2080039,5465.62,4
2032845,2080039,5465.62,64
2032982,2080039,5465.62,8
2033023,2080039,5465.62,13.28
2032597,2080039,5465.62,2.72
2032785,2080039,5465.62,44
2032862,2080039,5465.62,44
2032862,2080039,5465.62,44
4202191,2082267,880,311
4152184,2083794,432,40
4558090,2140212,187,38.73
4164002,2145287,150,49.2
2154036,2220954,410,378
2221349,2221348,314,135
2089064,2133813,84,23.44
2223228,2217497,96,96
4219305,2213698,60,60
2145608,2109871,500,169
4237888,2032355,564,0
4540652,2050237,3165,0
2084866,2064761,1000,0
6799955,2071882,18,0
4502917,2072329,68,0
4503121,2072330,180,0
2032576,2074433,90000,0
2032589,2074433,90000,0
2033033,2074433,90000,0
2085150,2074433,90000,0
2087182,2076051,13099.2,0
2085227,2076436,0.5,0
2085145,2077468,12000,0
2084754,2078872,1,0
2084755,2078873,1.2,0
2084756,2084756,1.2,0
2084505,2078891,39.99,0
6359773,2079010,303,0
2084751,2079163,2,0
4146941,2079225,192.5,0
2075382,2079492,202,0
2032354,2080039,5465.62,0
2032420,2080039,5465.62,0
2032421,2080039,5465.62,0
2032622,2080039,5465.62,0
2032813,2080039,5465.62,0
2032975,2080039,5465.62,0
2033015,2080039,5465.62,0
2085238,2080039,5465.62,0
2087521,2080039,5465.62,0
2087695,2080039,5465.62,0
2084840,2082123,448,0
6569761,2082331,14,0
4291947,2083120,2750,0
2085223,2083141,832,0
4291913,2083615,1120,0
2087223,2085330,1374,0
2087224,2085330,1374,0
4210332,4210332,36,0
5922612,2089954,81,0
2095250,2095249,125.44,0
4220916,2125897,160,0
6799289,2128813,2178,0
6800784,2128813,2178,0
6799291,2128814,1208,0
6800789,2128814,1208,0
6799292,2128815,1694,0
6800767,2128815,1694,0
4143297,2129899,648,0
6418549,2129937,90,0
4216783,2130224,150,0
2085255,2132998,25416,0
4549546,2134423,1500,0
2145480,2134896,250,0
4541761,2134896,250,0
6418905,2135223,132,0
6418574,2135225,412,0
4544368,2135364,42.3,0
2088905,2135959,105,0
4320870,2136086,90,0
4547683,2136242,300,0
6418969,2136904,176,0
4696040,2137642,660,0
2129720,2137785,635.6,0
6799293,2138690,4194,0
6800781,2138690,4194,0
2146088,2138723,4172,0
4159484,2139214,717,0
6270570,2139364,800,0
4884765,2139378,507.5,0
5565119,2139462,1249,0
4294393,2139491,662,0
2145438,2139634,501,0
4146363,2139634,501,0
4265588,2139646,314,0
6418301,2139679,1210,0
4233885,2139747,21,0
6460251,2139788,1554,0
6418629,2139793,258,0
4295688,2140333,237.9,0
6800724,2140460,604,0
6800739,2140461,1090,0
6800728,2140462,1694,0
5565101,2140918,1100,0
4506110,2140975,624,0
6460282,2141123,480,0
4542807,2141167,600,0
2145771,2141215,160,0
6279424,2141249,112,0
6418644,2141567,640,0
6418653,2141567,640,0
4160494,2141780,480,0
2129652,2141780,480,0
6279444,2141873,270,0
5565021,2141882,480,0
4543572,2142132,380,0
5565080,2142165,600,0
2129740,2142214,140,0
6563027,2142274,360,0
6270329,2142298,200,0
2088921,2142440,301,0
6460037,2142665,76,0
4536346,2142676,500,0
4540849,2142676,500,0
2089792,2142709,720,0
2144741,2142709,720,0
4547808,2142745,60,0
4173280,2143456,2880,0
4486942,2143479,106,0
6418209,2143510,12.6,0
2129599,2144061,110,0
4146552,2144129,702,0
2143452,2144625,14.3,0
2143330,2144775,40,0
6418323,2144786,111,0
2129425,2144793,80,0
2143451,2144842,75,0
2145228,2145728,600,0
2145772,2145865,255,0
2223255,2147120,4,0
6801647,2159237,2,0
2222647,2162067,2,0
6801646,2182712,160,0
4166299,2207497,200,0
2147321,2210664,0.4,0
2223065,2210981,9,0
2147264,2212281,50,0
4142776,2214275,1000,0
2223109,2214334,250.27,0
2147397,2215774,80,0
2223234,2216203,52,0
6801492,2216364,260,0
2206109,2216419,31.5,0
6801493,2216789,80,0
4500398,2216975,880,0
2223076,2217543,9,0
