Child,Parent,Parent_Qa,relinq_Qa
2032362,2075614,3065.6,0
2075389,2076443,55.6,0
6675426,6007793,416,0
4151445,2078751,27,0
4845234,2079285,137,0
4847452,2079288,312,0
4701004,2079299,158.3,19
4231332,2080034,252.8,50.1
4231370,2080034,252.8,47.9
4231397,2080034,252.8,55.4
6674636,2080064,450,0
4494887,2080084,49551,0
4624512,2080084,49551,0
2032401,2081517,4116,0
6797069,2082091,1526.4,0
6684258,2082861,640,0
2085207,2085207,60,0
2085208,2085208,110,0
2085210,2085210,70,0
4317397,2087130,3163,0
6203568,2131059,392.5,0
6203604,2132447,5138,0
6203635,2131013,4984,0
4241604,2133431,28.9,0
6203504,2137636,2560,0
4241585,2138822,66,0
2144994,2139085,197,0
2145103,2139085,197,0
2145102,2139595,82.4,0
2144995,2139595,82.4,0
6203441,2143399,460,0
5803610,2143923,4240,552.5
2223043,2212619,128,48
6674801,2239998,320,40
2285855,2273741,1200,234
6674675,2274534,120,0
6087265,2275987,48,0
4641889,2276458,370,0
6090970,2276525,56,0
4262228,2277472,132,0
6800033,2277787,10857,0
6800216,2277787,10857,0
6800403,2277787,10857,0
6800504,2277787,10857,0
6801518,2277787,10857,0
6801958,2277787,10857,0
6802024,2277787,10857,0
5281798,2278066,724,388
6166942,2281134,90,0
5681629,2281502,70,0
6666456,2281784,23200,0
4656667,2282386,336,0
4628943,2282591,90,0
4674163,2282591,90,0
5079157,2282591,90,0
6045757,2282591,90,0
6628231,2284304,3700,0
2272053,4188597,50,0
2129647,4191985,43704,0
2087507,4217683,94,0
5320760,4274748,1807,0
5802987,4274748,1807,0
6673835,4581333,8.2,0
2032435,2032435,72,0
6802157,6802157,975,362
4921379,4921379,425,0
6674907,4999394,67.4,0
6675313,5318011,20.5,0
5724994,5444039,1810,24
6675097,5767482,119,0
6675191,4565533,104,0
6800841,2076975,280,10.16
2032488,2032488,720.2,0
2075140,2075140,129,0
2075489,2075489,25.5,0
2075503,2075503,2,0
2084538,2084538,260,260
2084864,2084864,168,0
2085074,2085074,117.7,0
2085137,2085137,237.6,0
2085138,2085138,478.8,0
2085232,2085232,2,0
2086747,2086747,900,0
2087197,2087197,35,0
2087221,2071255,336,144.3
2087281,2087281,777.3,0
2087282,2087282,1538,0
2087283,2087283,433.8,0
2087288,2087288,901,0
2087289,2087289,85.2,0
2087301,2087301,5334,0
2087302,2087302,230,0
2087303,2087303,730,0
2087308,2087308,178.6,0
2087309,2087309,203.04,0
2087311,2087311,208,0
2087318,2087318,144.01,0
2087324,2087324,24.43,0
2087325,2087325,150,0
2087350,2087350,150,0
2087363,2087363,86.4,0
2087393,2087393,45.2,0
2087398,2087398,28,0
2087402,2087402,640,0
2087411,2087411,3265,0
2087412,2087412,3799,0
2087413,2087413,950,0
2087419,2087419,612,0
2087420,2087420,19000,0
2087421,2087421,19000,0
2087423,2087423,791,0
2087424,2087424,791,0
2087425,2087425,791,0
2087426,2087426,791,0
2087427,2087427,791,0
2087431,2087431,2430,0
2087432,2087432,4128,0
2087434,2087434,105,0
2087435,2087435,348,0
2087436,2087435,348,0
2087449,2087449,2745,0
2087452,2087452,328,0
2087462,2087462,86,0
2087468,2087468,808,0
2087469,2087469,1491,0
2087473,2087473,579,0
2087474,2087474,55.25,0
2087475,2087475,212.5,0
2087476,2087476,172,0
2087477,2087477,404,0
2087478,2087478,23,0
2087479,2087479,23,0
2087480,2087480,764,0
2087481,2087481,138,0
2087482,2087482,138,0
2087537,2087537,5.6,0
2087538,2087538,5.6,0
2087577,2087577,175.5,0
2087578,2087578,576,0
2087579,2087579,412,0
2087580,2087580,131.5,0
2087581,2087581,148,0
2087583,2087583,140.25,0
2223971,2223971,240,0
4156322,4156322,36,0
4156349,4156349,40,0
4157312,4157312,204,0
4183010,4183010,0.1,0
4232323,4232323,132,0
4233494,4233494,764,0
4259530,4259530,21.6,21.6
4347541,4347541,225,0
4495259,4347541,225,0
4512950,4512950,804,0
4556615,4556615,804,0
4598205,4598205,70,0
4622887,4170192,1360,0
4699813,4699813,9.5,0
2087199,2079954,237,0
2144938,2145676,1500,1500
4215474,2080948,54,0
4290757,4145473,237,0
4526099,2077466,1420,0
4624433,2077466,1420,0
5161786,2136098,120,0
