WaRecId,Parent,Parent_Qi,ChildQi
2084651,2079060,22.5,0
4736233,2079489,42,0
2086762,2086762,1,0
4303207,2087157,16,0
4241943,2135871,1,0
2144749,2136551,10,-2
4225624,2136767,29,0
4225634,2136775,15,0
2145861,2136777,0.38,-0.34
4470589,2143208,1,0
4673057,2143281,10,0
2089773,2143386,20.68,0
2129712,2143386,20.68,0
2143586,2143585,5,0
5801766,2209788,30,0
5802040,2209917,15,0
4205025,2210077,5,0
4204354,2210106,18,0
5802021,2210585,5,0
4199340,2211354,3.33,0
4624863,2211354,3.33,0
4204272,2211521,40,0
2223280,2211598,18,0
4206320,2212678,1.5,0
4206477,2212679,4,0
4194372,2212743,30,0
4194382,2212760,15,0
4204291,2212944,40,0
4588900,2213037,0.5,0
4206388,2214022,0.3,0
4206400,2214023,3.5,0
4193846,2214065,0.6,0
4193304,2214140,1,0
2223167,2214199,20,0
4204205,2214199,20,0
4192491,2214307,0.76,0
4192816,2214323,5,0
4193739,2214359,10,0
5802054,2214445,5,0
4192482,2214454,0.5,0
4192900,2214454,0.5,0
4203723,2214535,2,0
4192724,2214572,4,0
4445400,2214631,30,0
4192412,2214652,35,0
4192421,2214665,30,0
4199415,2214686,150,0
4192471,2214692,13.811,0
6730755,2214787,15,0
2223107,2214805,5,0
2223077,2220991,15,0
4204186,2220991,15,0
4204216,2220991,15,0
6662782,2220991,15,0
4274681,2221016,3,0
2223050,2223049,1,-0.96
6714707,2223049,1,0
4555695,2272364,0.55,0
4555684,2272546,2,0
6167626,2272693,2,-1.31
4555704,2272824,8,0
4273260,2274189,22.36,0
4273527,2274298,125,0
4272299,2275161,0.05,0
4273367,2275161,0.05,0
4272125,2275314,1,0
2285851,2275516,0.25,0
4273798,2275519,20,0
4268048,2275814,0.01,0
4267840,2276137,0.38,0
4271627,2276434,6,0
4268380,2276451,0.25,0
4266036,2276680,0.26,0
4268103,2276712,5,0
4268884,2276712,5,0
4272263,2276746,0.25,0
4268951,2276939,4.4,0
4267810,2277093,0.6,0
4267184,2277132,0.25,0
4273423,2277496,15,0
4272044,2277562,0.02,0
4271615,2277693,3,0
4268967,2277711,15,0
2272136,2277787,15,0
4265988,2277919,1.1,0
4265899,2277994,0.02,0
4267173,2278038,0.1,0
4152029,4152029,1.3,0
4684506,4158239,1000,0
4684564,4158239,1000,0
4192182,4192182,3,0
4676535,4192182,3,0
4676491,4192193,0.7,0
4204927,4192421,30,0
4193766,4193766,1100,0
4193779,4193766,1100,0
4193789,4193779,90,0
4193797,4193789,75,0
6801643,4193789,75,0
4199235,2214430,3,-2.7
4257191,2211384,2,-1.2
2089772,2143387,24.5,0
2143388,2143387,24.5,0
4644513,2079080,250,0
4194901,2079800,1,0
4196585,4196577,16,0
2147404,2213867,1.5,0
4456033,2209720,8.5,-1.378
2223965,2223965,0.05,-0.02
2084501,2084501,0.3,-0.26
2087111,2079774,1320,0
2145241,2135846,4,0
4189630,2080018,3,0
4196577,4196577,16,0
4203822,2210847,1.34,0
4207352,2212857,15,0
4207859,2211184,4.5,0
4207869,2212761,5,0
4271852,2276572,1.5,0
4445180,4445180,50,0
4467178,2277869,110,0
6800870,2214813,45,-19.66
