Child,Parent,Parent_Qa,ChildQ
4709485,2032465,1424.8,400
5078431,2032465,1424.8,0
5644013,2032465,1424.8,0
6167567,2032465,1424.8,0
6799505,2032465,1424.8,0
4709470,2032564,117.78,33.1
5078419,2032564,117.78,0
5643975,2032564,117.78,0
6167558,2032564,117.78,0
6799504,2032564,117.78,0
4709293,2283427,3487.45,980
5043714,2283427,3487.45,0
5643962,2283427,3487.45,0
6167548,2283427,3487.45,0
6799503,2283427,3487.45,0
4709986,4654206,5779.12,1624.4
5078444,4654206,5779.12,0
5644030,4654206,5779.12,0
6167581,4654206,5779.12,0
6799506,4654206,5779.12,0
5078456,4656141,4004.52,1125.6
5644066,4656141,4004.52,0
6167591,4656141,4004.52,0
6799507,4656141,4004.52,0
4709186,4233037,11006,3093.6
5043664,4233037,11006,0
5643945,4233037,11006,0
6167490,4233037,11006,0
6799502,4233037,11006,0
4710018,2075519,685.35,192.6
5078469,2075519,685.35,0
5644095,2075519,685.35,0
6167602,2075519,685.35,0
6799508,2075519,685.35,0
6465635,2042332,102,0
5278727,2063291,56,10.43
4676282,2076296,15.9,0
4726605,2076296,15.9,0
5604547,2076296,15.9,0
4676247,2076943,38,0
4726594,2076943,38,0
6166148,2077017,1229,174.5
4494027,2077430,641,97.6
4615252,2077430,641,0
6506289,2077430,641,0
6799140,2077430,641,0
6799866,2077430,641,0
6800946,2077430,641,0
6801801,2077430,641,0
4164356,2078050,11,0
6166129,2078990,2696,0
4732840,2078997,42.85,0
5202650,2078997,42.85,0
5647436,2078997,42.85,0
5278607,2079263,52.08,6.51
4713013,2084691,3982,0
6203760,2130415,280,0
6203777,2130586,620,0
6203738,2130715,1948,0
6203723,2132083,7628,0
4676159,2132955,153.5,0
4726571,2132955,153.5,0
5604425,2132955,153.5,0
6800419,2132955,153.5,0
4594824,2140136,646,0
5441065,2169457,32,0
6802992,2209776,12,4.07
2147305,2211634,100,0
2223071,2212587,240,0
2223089,2212777,30,0
4200374,2213337,80,0
4210929,2219776,90,70
6263665,2221371,140,0
6801012,2234055,120,0
6801998,2234055,120,0
6799154,6799154,320,0
6801016,6799154,320,0
6801017,6799154,320,0
6801018,6799154,320,0
6801023,6799154,320,0
6801020,2240410,40,0
6801021,2240410,40,0
6554196,2247628,60,0
6802300,2272136,750,0
6802318,2272136,750,0
6802962,2272136,750,0
6802990,2272136,750,0
6803069,2272136,750,0
6802939,2273741,1200,0
6801566,2274201,64,0
6802244,2274201,64,0
6799319,2274534,120,0
6801213,2274534,120,0
6802000,2274534,120,0
6802975,2274534,120,0
6800262,2274612,3.8,0.8
6801138,2274612,3.8,0
6801860,2274612,3.8,0
6552395,2274723,90,45.5
6802206,2274887,216,0
6801565,2274906,120,0
6802245,2274906,120,0
6802720,2274906,120,0
6802177,2275304,80,0
6800554,2275568,40,0
6801567,2275568,40,0
6802242,2275568,40,0
6799318,2275597,80,0
6801212,2275597,80,0
6802089,2275597,80,0
6800471,2275655,220,0
6801462,2275655,220,0
6504393,2275987,48,0
6800307,2275987,48,0
6801375,2275987,48,0
6801999,2275987,48,0
6800142,2276150,38,0
6801136,2276150,38,0
6802067,2276150,38,0
6801390,2276271,70.1,0
6802178,2276394,40,0
6799150,2276482,74,0
6799151,2276482,74,0
6799152,2276482,74,0
6800037,2276482,74,0
6800038,2276482,74,0
6800039,2276482,74,0
6801959,2276482,74,0
5646246,2276525,56,0
6800143,2276996,68,0
6801133,2276996,68,0
6802068,2276996,68,0
6800141,2277335,68,0
6801135,2277335,68,0
6802066,2277335,68,0
6800144,2277356,73.15,0
6801134,2277356,73.15,0
6802069,2277356,73.15,0
6799114,2277406,86.3,0
6800552,2277472,132,0
6801564,2277472,132,0
6802246,2277472,132,0
6802786,2277472,132,0
6801141,2279787,66.4,0
6801142,2279963,58.1,0
6801139,2280131,101,0
6800443,2280595,936,0
6802871,2280842,90,12.3
6506587,2281134,90,0
6799067,2281134,90,0
6800036,2281134,90,0
6800980,2281134,90,0
6801886,2281134,90,0
6802941,2281134,90,0
6801217,2281254,58,22.1
4674194,2281502,70,42.9
6798866,2281502,70,0
6799901,2281502,70,0
6800982,2281502,70,0
6801836,2281502,70,0
6802770,2281502,70,0
6801071,2281530,126,0
6801143,2281692,60,0
6801070,6801070,126,0
6552371,2281731,220,0
6552429,2281972,100,0
6802671,2282427,46,0
6504671,2282591,90,0
6799905,2282591,90,0
6800984,2282591,90,0
6801834,2282591,90,0
6802672,2282591,90,0
6800442,2285471,1738,0
4517099,4167639,200,0
4593897,4189540,27842,0
4593926,4189540,27842,0
4660028,4189540,27842,0
4643917,4236839,12.07,0
6047599,4236839,12.07,0
4675765,4408164,114,0
4712776,4408164,114,0
5525720,4408164,114,0
6802742,4408385,79,0
4675690,4408438,60,0
4712793,4408438,60,0
5525666,4408438,60,0
6560989,4408438,60,0
6799844,4408438,60,0
4593595,4445510,2800,0
4659985,4445510,2800,0
5117201,4635564,4336,190.4
5565471,4635564,4336,0
6046216,4659408,417,0
6047450,4666062,108.9,0
2032435,2032435,72,0
6802324,6802324,4500,0
6802323,6802323,290.92,0
6803004,6802323,290.92,0
6802350,6802350,10.36,0
6802351,6802351,10.15,0
6802343,6802343,128,0
6802937,6802343,128,0
6802983,6802983,755.3,0
5525694,5355616,3685,0
6570099,5355616,3685,0
6800027,5355616,3685,0
6800960,6800707,95,0
6802052,6800707,95,0
6802151,6802983,755.3,0
6802160,6802160,13781,0
6803039,6803038,18.5,0
5525750,2043276,100,0
5803098,2045144,120,0
4511709,2075935,85.5,0
4632853,2075935,85.5,0
6626130,2075935,85.5,0
4646871,2081517,4116,0
5645789,2033176,1495.37,242.08
6009544,2033176,1495.37,0
5604602,2076943,38,0
5605168,2087733,147.56,0
6800252,4670050,8703.75,0
6799603,2088999,30,0
6799602,2089000,157,0
6799600,2089001,66,24
6798995,2089020,2798.7,0
6800075,2089020,2798.7,0
6800972,2089020,2798.7,0
6802011,2089020,2798.7,0
6802711,2089020,2798.7,0
6799054,2089240,3200,0
6800072,2089240,3200,0
6801072,2089240,3200,0
6802036,2089240,3200,0
6802889,2089240,3200,0
6801260,2090001,157,0
6799052,2095324,800,0
6800074,2095324,800,0
6801069,2095324,800,0
6802025,2095324,800,0
6802878,2095324,800,0
6799975,2129889,443,0
6799072,2131222,3515,0
6800234,2131222,3515,0
6801080,2131222,3515,0
6802063,2131222,3515,0
6799071,2132260,15673,0
6800236,2132260,15673,0
6801081,2132260,15673,0
6802064,2132260,15673,0
6799073,2132524,1185,0
6800237,2132524,1185,0
6801073,2132524,1185,0
6799074,2132606,21000,0
6800235,2132606,21000,0
6801082,2132606,21000,0
6802065,2132606,21000,0
6799340,2134208,1730,0
6801149,2134208,1730,0
6800092,2134538,950,0
6801263,2135300,256,0
6799144,2135361,300,0
6800285,2135361,300,0
6801246,2135416,480,0
6802027,2135416,480,0
6800125,2135547,1104,0
6801248,2135547,1104,0
6802028,2135547,1104,0
6802277,2135915,76,0
6799011,2137597,2240,0
6800012,2137597,2240,0
6802043,2137597,2240,0
6802704,2137597,2240,0
6799057,2137828,1120,0
6800088,2137828,1120,0
6800968,2137828,1120,0
6802271,2137828,1120,0
6802890,2137828,1120,0
6798983,2137930,535.5,0
6800084,2137930,535.5,0
6801122,2137930,535.5,0
6802032,2137930,535.5,0
6802826,2137930,535.5,0
6799003,2137984,625,0
6800021,2137984,625,0
6798945,2138024,2160,0
6800104,2138024,2160,0
6801240,2138024,2160,0
6801940,2138024,2160,0
6802807,2138024,2160,0
6802195,2138042,600,0
6798992,2138073,465,0
6800055,2138073,465,0
6800953,2138073,465,0
6801933,2138073,465,0
6802699,2138073,465,0
6800085,2138118,650,0
6801124,2138118,650,0
6802061,2138118,650,0
6802821,2138118,650,0
6799010,2138253,800,0
6800002,2138253,800,0
6800970,2138253,800,0
6802050,2138253,800,0
6802703,2138253,800,0
6798993,2138270,1083.3,0
6800050,2138270,1083.3,0
6800954,2138270,1083.3,0
6801934,2138270,1083.3,0
6802695,2138270,1083.3,0
6799059,2138303,2514.5,0
6800065,2138303,2514.5,0
6801101,2138303,2514.5,0
6802013,2138303,2514.5,0
6802881,2138303,2514.5,0
6800232,2138306,627.75,0
6798994,2138335,1083.3,0
6800049,2138335,1083.3,0
6800957,2138335,1083.3,0
6801935,2138335,1083.3,0
6802696,2138335,1083.3,0
6800053,2138337,1083.3,0
6801925,2138337,1083.3,0
6802697,2138337,1083.3,0
6800015,2138404,700,0
6802189,2138404,700,0
6798951,2138458,1600,0
6800066,2138458,1600,0
6802059,2138458,1600,0
6802804,2138458,1600,0
6802882,2138469,2152,0
6801261,2138508,70,0
6798953,2138563,1505,0
6800105,2138563,1505,0
6801941,2138563,1505,0
