WR_Doc_ID,Parent,Parent_Qa,AnnualVolumeQuantity_filled
2032312,NULL,,65.44
2032314,NULL,,572
2032315,NULL,,709.3
2032316,NULL,,37.6
2032317,NULL,,202.8
2032319,NULL,,443.4
2032323,2074433,90000,12.74
2032330,2074433,90000,11.04
2032339,NULL,,80
2032347,NULL,,36
2032348,NULL,,16.8
2032353,2081417,304,304
2032355,4188191,564,564
2032363,2078361,191.25,191.25
2032364,2074433,90000,3.11
2032367,NULL,,40
2032368,NULL,,80
2032371,NULL,,60
2032372,NULL,,30.2
2032373,NULL,,20
2032375,2079092,NA,60.5
2032391,2079298,218.35,121
2032397,NULL,,400
2032413,2077467,15015,15015
2032423,2074433,90000,16.98
2032424,2074433,90000,32.55
2032436,2074433,90000,11.6
2032440,NULL,,4
2032441,NULL,,1528
2032453,2075603,762,657.8
2032455,2075189,2060,713
2032468,2074433,90000,8.77
2032473,2074433,90000,5.66
2032475,2282908,320,320
2032481,NULL,,28.5
2032482,NULL,,104
2032486,2074433,90000,4.5
2032500,NULL,,12
2032501,NULL,,18.24
2032505,NULL,,20
2032514,NULL,,805
2032515,NULL,,3.2
2032516,2074433,90000,28.3
2032517,2079074,57,57
2032539,2078536,180,28
2032544,2132997,90,10.286
2032545,NULL,,50
2032546,NULL,,75
2032547,4762960,6,6
2032555,G4-31354,,40
2032570,NULL,,10.5
2032571,G4-28505P,,10.5
2032585,2074433,90000,22.64
2032587,2074433,90000,32.6
2032588,2074433,90000,9.06
2032590,2074433,90000,7.08
2032598,2074433,90000,0.54
2032610,2082075,82,53
2032624,2074433,90000,11.3
2032625,2074433,90000,14.15
2032638,NULL,,80
2032647,NULL,,44.12
2032653,NULL,,384
2032655,NULL,,4
2032656,NULL,,4
2032657,NULL,,4
2032658,NULL,,4
2032660,NULL,,240
2032661,NULL,,52
2032662,NULL,,60
2032664,NULL,,100
2032665,NULL,,10
2032666,NULL,,20
2032667,2050727,20,20
2032669,2078508,52,52
2032670,2078509,184,184
2032680,2074433,90000,14.86
2032683,NULL,,32
2032684,NULL,,4
2032685,NULL,,39.92
2032689,NULL,,320
2032693,NULL,,320
2032694,NULL,,48
2032696,NULL,,2000
2032697,NULL,,32
2032700,NULL,,12
2032701,G4-28505P,,2
2032712,NULL,,100
2032713,NULL,,160
2032718,NULL,,320
2032726,2075275,150,114
2032728,2082923,40,40
2032735,NULL,,15
2032736,NULL,,9
2032741,NULL,,120
2032744,NULL,,12
2032749,NULL,,300
2032750,NULL,,80
2032755,NULL,,36
2032757,NULL,,2.52
2032758,NULL,,3
2032764,2082665,109,11.2
2032771,NULL,,47.6
2032781,2074433,90000,28.3
2032786,2074433,90000,12.7
2032791,2074433,90000,19.81
2032803,2074433,90000,22.4
2032804,2074433,90000,6.23
2032811,2074433,90000,5.1
2032812,2074433,90000,6.8
2032820,2074433,90000,26.32
2032821,2074433,90000,11.3
2032828,2074433,90000,11.32
2032829,2074433,90000,14.15
2032830,2074433,90000,13.53
2032840,NULL,,1800
2032848,NULL,,60
2032855,NULL,,8
2032859,NULL,,52
2032861,2074433,90000,19.81
2032868,2074433,90000,8.21
2032872,2084335,100,81.25
2032875,2074433,90000,27.59
2032878,NULL,,4
2032879,NULL,,32
2032893,NULL,,500
2032895,NULL,,164
2032896,NULL,,266
2032897,NULL,,91
2032898,NULL,,477
2032901,NULL,,24
2032909,NULL,,40
2032911,NULL,,20
2032914,NULL,,808
2032920,NULL,,160
2032922,NULL,,12
2032924,NULL,,18
2032925,NULL,,232
2032933,NULL,,30
2032936,NULL,,168
2032939,NULL,,320
2032940,NULL,,8
2032941,NULL,,600
2032948,NULL,,8
2032950,NULL,,20
2032951,NULL,,20
2032953,NULL,,160
2032955,2074433,90000,5.52
2032957,2068213,100,51
2032973,2074433,90000,9.91
2032976,2074433,90000,1.7
2032979,2074433,90000,7.08
2032980,2074433,90000,7.08
2032995,2079943,NA,241.05
2032997,2078712,140,47
2032998,2079369,NA,85
2033000,2081412,322.8,322.8
2033004,2075255,112,47.25
2033016,2074433,90000,11.9
2033017,2074433,90000,11.04
2033021,2074433,90000,11.9
2033022,2074433,90000,3.68
2033024,2074433,90000,7.08
2033028,NULL,,40
2033030,NULL,,5.6
2033032,2074433,90000,14.73
2033035,NULL,,400
2033039,2074433,90000,11.3
2033169,NULL,,52
2033186,NULL,,20
2038206,NULL,,469.6
2038441,NULL,,20
2038442,NULL,,9.68
2038447,NULL,,28800
2038451,NULL,,160
2038461,NULL,,320
2038465,NULL,,80
2038466,NULL,,88
2038479,NULL,,1
2038480,NULL,,288
2038481,NULL,,12
2049275,2049275,730,584.8
2050790,2050790,302,274
2075110,2060411,100,51.7
2075118,NULL,,1
2075119,NULL,,200
2075123,NULL,,16
2075124,NULL,,40
2075126,NULL,,388
2075131,2056085,500,75.8
2075189,2075189,2060,547
2075285,NULL,,6
2075286,NULL,,8
2075288,NULL,,16
2075289,NULL,,82.4
2075291,NULL,,72
2075292,NULL,,44
2075297,NULL,,2000
2075299,NULL,,4
2075300,NULL,,84
2075302,NULL,,24
2075308,NULL,,16
2075313,NULL,,76.2
2075316,NULL,,9.2
2075319,NULL,,320
2075324,NULL,,1360
2075325,NULL,,750
2075331,2078835,400,400
2075350,2084372,350,331
2075380,2080550,156,156
2075393,2081819,52,40.2
2075404,NULL,,35
2075407,NULL,,65.9
2075458,NULL,,136
2075460,NULL,,6356
2075478,2067715,2555,350.8
2075483,2084394,54,22.5
2075484,NULL,,350
2075495,NULL,,17.5
2075501,NULL,,2.1
2075502,2068707,80,51
2075526,NULL,,8
2075531,NULL,,932
2075532,NULL,,132
2075533,NULL,,640
2075535,NULL,,14
2075538,NULL,,20
2075544,NULL,,1600
2075546,NULL,,320
2075547,NULL,,80
2075550,NULL,,80
2075564,NULL,,4
2075565,NULL,,72
2075566,NULL,,21.5
2075567,NULL,,150
2075568,NULL,,180
2075569,NULL,,120
2075571,NULL,,36
2075572,NULL,,30
2075574,NULL,,2
2075577,NULL,,24
2075578,NULL,,48
2075580,NULL,,11
2075581,NULL,,32
2075582,NULL,,39
2075583,NULL,,21
2075584,NULL,,6
2075585,NULL,,6
2075586,NULL,,1
2075587,NULL,,4
2075588,NULL,,1
2075589,NULL,,4
2075590,NULL,,39
2075591,NULL,,90
2075592,NULL,,48
2075593,NULL,,24
2075594,NULL,,9
2075595,NULL,,27
2075596,NULL,,48
2075597,NULL,,45
2075606,NULL,,174.12
2075607,NULL,,19.05
2075608,NULL,,9.525
2075609,NULL,,9.525
2075631,NULL,,36
2075636,NULL,,193
2075638,NULL,,9
2075639,NULL,,4
2075642,NULL,,66
2075765,NULL,,9.32
2075766,NULL,,80
2075767,NULL,,6
2075769,NULL,,160
2075771,NULL,,40
2075772,NULL,,40
2075773,NULL,,54
2075776,NULL,,120
2075777,NULL,,66.68
2075778,NULL,,260
2075780,NULL,,136
2075781,NULL,,136
2075782,NULL,,254.6
2075783,NULL,,54.01
2075784,NULL,,154.3
2075786,NULL,,320
2075787,NULL,,28
2075788,NULL,,32
2075791,NULL,,100
2075792,NULL,,200
2075794,NULL,,231.45
2075795,NULL,,77.15
2075796,NULL,,200
2075799,NULL,,216.02
2075800,NULL,,160
2075805,NULL,,12
2075812,NULL,,80
2075813,NULL,,640
2075815,NULL,,40
2075818,NULL,,20
2075822,NULL,,9.4
2075842,NULL,,588
2075871,NULL,,1.1
2075873,NULL,,1.1
2075874,NULL,,1.29
2075964,NULL,,240
2075965,2078767,328,328
2075966,4188162,472,472
2075968,NULL,,236
2075969,NULL,,28
2075971,NULL,,28
2075973,NULL,,32
2075974,NULL,,12
2075975,NULL,,320
2076033,NULL,,2
2076042,NULL,,2
2076045,NULL,,1.67
2076049,NULL,,1.5
2076157,NULL,,680
2076171,NULL,,1.15
2076192,NULL,,34.06
2076199,NULL,,8
2076215,NULL,,6
2076216,NULL,,1
2076283,NULL,,4
2076285,NULL,,12.6
2076295,NULL,,1.2
2076300,NULL,,1
2076301,NULL,,108
2076303,NULL,,4.6
2076322,NULL,,5
2076329,NULL,,92.5
2076336,NULL,,160
2076337,NULL,,321
2076340,NULL,,29
2076347,NULL,,40.5
2076348,NULL,,2
2076350,NULL,,5
2076351,NULL,,5.2
2076353,NULL,,1
2076354,NULL,,28
2076355,NULL,,11
2076421,NULL,,1
2076422,NULL,,177
2076424,NULL,,21.2
2076425,NULL,,13.3
2076427,NULL,,4725
2076429,NULL,,3.5
2076430,NULL,,15
2076431,NULL,,3.5
2076438,NULL,,140
2076441,NULL,,1
2076444,NULL,,2.35
2076452,NULL,,2
2076463,NULL,,32
2076464,NULL,,8
2076467,NULL,,7
2076483,NULL,,1
2076491,NULL,,54
2076495,NULL,,4
2076497,NULL,,15
2076504,NULL,,18
2076514,NULL,,10.5
2076520,NULL,,376
2076533,NULL,,13
2076537,NULL,,19.96
2076548,NULL,,1.8
2076785,NULL,,1.5
2076792,NULL,,4
2076802,NULL,,128
2076805,NULL,,903
2076806,NULL,,143
2076813,NULL,,26.25
2076817,NULL,,94
2076824,NULL,,300
2076829,NULL,,4.45
2076830,NULL,,16
2076834,NULL,,9.4
2076838,NULL,,400
2076839,NULL,,176.7
2076840,NULL,,1.25
2076843,NULL,,4.5
2076844,NULL,,47.5
2076854,NULL,,156
2076859,NULL,,1440
2076865,NULL,,23.8
2076867,NULL,,54
2076944,NULL,,100
2076951,NULL,,105
2076952,NULL,,115
2076980,NULL,,18
2076992,NULL,,63
2076998,NULL,,38
2077001,NULL,,10
2077003,NULL,,287
2077014,NULL,,182
2077019,NULL,,176
2077026,NULL,,40
2077029,NULL,,34
2077035,NULL,,55
2077038,NULL,,4
2077040,NULL,,89.4
2077042,NULL,,4
2077069,NULL,,2
2077072,NULL,,31
2077073,NULL,,16.6
2077076,NULL,,4
2077077,NULL,,4.6
2077079,NULL,,5.33
2077080,NULL,,8.66
2077084,NULL,,2
2077088,NULL,,20
2077093,NULL,,67
2077099,NULL,,6
2077145,NULL,,1
2077154,NULL,,30
2077158,NULL,,10
2077176,NULL,,10.7
2077177,NULL,,16
2077179,NULL,,4.25
2077197,NULL,,12
2077212,NULL,,4
2077214,NULL,,835
2077215,NULL,,150
2077230,NULL,,71
2077232,NULL,,6
2077234,NULL,,48
2077240,NULL,,2
2077273,NULL,,20.6
2077274,NULL,,5
2077285,NULL,,4
2077300,NULL,,100
2077321,NULL,,2
2077322,NULL,,3.2
2077323,NULL,,78
2077331,NULL,,7
2077338,NULL,,2.5
2077342,NULL,,69
2077355,NULL,,14
2077357,NULL,,2
2077362,NULL,,40
2077371,NULL,,1
2077378,NULL,,58.5
2077381,NULL,,40
2077382,NULL,,86.25
2077383,4188115,1250,1250
2077390,NULL,,33.24
2077396,NULL,,150
2077403,NULL,,83
2077406,NULL,,242
2077407,NULL,,28.5
2077411,NULL,,322
2077419,NULL,,450
2077421,NULL,,66
2077423,NULL,,155
2077430,NULL,,641
2077431,NULL,,96
2077434,NULL,,27.9
2077435,NULL,,5
2077436,NULL,,41
2077437,NULL,,9.7
2077450,NULL,,107
2077459,NULL,,649
2077461,NULL,,173
2077465,NULL,,3900
2077466,NULL,,1420
2077487,NULL,,4
2077488,NULL,,6
2077506,NULL,,10
2077513,NULL,,22
2077520,NULL,,56
2077525,NULL,,10
2077533,2077533,NA,NA
2077536,NULL,,75
2077537,NULL,,15
2077538,NULL,,240
2077539,NULL,,175
2077540,NULL,,245
2077541,NULL,,542.5
2077542,NULL,,39
2077543,NULL,,35
2077547,NULL,,50
2077548,NULL,,290
2077549,NULL,,410
2077550,NULL,,30
2077551,NULL,,30
2077554,NULL,,200
2077555,NULL,,340
2077556,NULL,,25
2077557,NULL,,275
2077558,NULL,,30
2077560,NULL,,45
2077563,NULL,,8
2077564,NULL,,15
2077565,NULL,,25
2077569,NULL,,59.5
2077570,NULL,,25
2077571,NULL,,50000
2077572,NULL,,350
2077573,NULL,,180
2077574,NULL,,300
2077576,NULL,,196
2077577,NULL,,25
2077579,NULL,,428.2
2077581,NULL,,225
2077584,NULL,,100
2077585,NULL,,500
2077589,NULL,,200
2077686,4191102,116,116
2077687,NULL,,45
2077785,NULL,,125
2077789,NULL,,370
2077790,NULL,,130
2077795,NULL,,51
2077796,NULL,,10
2077798,NULL,,50
2077799,NULL,,25
2077800,NULL,,55
2077801,NULL,,30
2077802,NULL,,100
2077803,NULL,,85
2077804,NULL,,125
2077805,NULL,,125
2077806,NULL,,25
2077808,NULL,,30
2077809,NULL,,100
2077811,NULL,,20
2077812,NULL,,170
2077813,NULL,,125
2077814,NULL,,120
2077815,NULL,,15
2077816,NULL,,65
2077817,NULL,,100
2077818,NULL,,50
2077819,NULL,,30
2077822,2077822,25000,24120
2077823,NULL,,450
2077825,NULL,,30
2077826,NULL,,50
2077828,NULL,,300
2077829,NULL,,25
2077830,NULL,,300
2077839,NULL,,177
2077840,NULL,,80
2077841,NULL,,48
2077842,NULL,,15
2077849,NULL,,61
2077858,NULL,,2
2077859,NULL,,18.15
2077861,NULL,,2.5
2077862,NULL,,1.48
2077863,NULL,,10
2077864,NULL,,2.75
2077865,NULL,,2
2077867,NULL,,1.65
2077869,NULL,,1.4
2077871,NULL,,7.6
